Time (s),Math 1 (V)
-10,0.1138114603569688
-9.9975,-0.004382552473433879
-9.994999999999999,-0.0527012336661121
-9.9925,-0.04609991475513824
-9.99,-0.03014920660525401
-9.987500000000001,-0.004552570238953335
-9.984999999999999,0.02276900333798248
-9.9825,0.01873147758119029
-9.98,-0.0005616314702204907
-9.977499999999999,-0.01527907318185514
-9.975,0.0006670003105028901
-9.9725,-0.009163159845848954
-9.970000000000001,-0.01311431143561303
-9.967499999999999,0.02896590763951443
-9.965,-0.01297435772446161
-9.9625,0.003629563962060443
-9.960000000000001,0.007746771628583105
-9.9575,0.003967437657154876
-9.955,-0.0009681551377756536
-9.952500000000001,-0.004361698659926894
-9.949999999999999,-0.02930673883387607
-9.9475,0.003593317527998824
-9.945,0.01953602726928153
-9.942500000000001,0.01296810259009004
-9.94,-0.0006648667856411862
-9.9375,-0.002823109256986371
-9.935,-0.006692898717632617
-9.932499999999999,-0.01174839107635597
-9.93,-0.00246622102164496
-9.9275,0.001590954881040122
-9.925000000000001,0.01082777641377586
-9.922499999999999,0.01180464123278702
-9.92,-0.0009854724109940476
-9.9175,-0.006990426733570001
-9.914999999999999,0.002243589368036792
-9.9125,-0.01043961957697193
-9.91,-0.01059043085052715
-9.907500000000001,0.006253723372146762
-9.904999999999999,0.00517334250900919
-9.9025,0.002792899635310912
-9.9,0.007288025595377549
-9.897500000000001,-0.000439052188475262
-9.895,-0.007096152284802321
-9.8925,-0.01504970189836667
-9.890000000000001,-0.01395004495128696
-9.887499999999999,0.02588728316212151
-9.885,0.01842460949437791
-9.8825,0.004488925984890868
-9.880000000000001,0.0002170975307499816
-9.8775,-0.009797363240040678
-9.875,-0.01143584251328291
-9.8725,-0.007516027972951453
-9.869999999999999,0.0009786364213978101
-9.8675,0.001301575900839504
-9.865,-0.00335194265950143
-9.862500000000001,0.00916450366009563
-9.859999999999999,0.00550482308553692
-9.8575,0.002135162423986776
-9.855,-0.004074758636583685
-9.852499999999999,-0.004553440092829569
-9.85,-0.0008083375876361845
-9.8475,0.0007557053780030368
-9.845000000000001,0.009487667818999663
-9.842499999999999,0.008693157210605639
-9.84,-0.01410447493154034
-9.8375,0.002942360647506444
-9.835000000000001,0.02236061402918566
-9.8325,-0.05219775459354104
-9.83,-0.009884504477627752
-9.827500000000001,0.01658578743141927
-9.824999999999999,0.01042632908467442
-9.8225,0.01706004566102225
-9.82,-0.0001496818691662574
-9.817500000000001,-0.003701369283290491
-9.815,-0.007692658516785507
-9.8125,0.000360383827647196
-9.81,-0.001348875409911372
-9.807499999999999,-0.005644727921629347
-9.805,0.003633460708154989
-9.8025,0.005307235581759408
-9.800000000000001,0.01655116026285591
-9.797499999999999,0.005329768923941216
-9.795,-0.008997835183223425
-9.7925,-0.0123862640300482
-9.789999999999999,-0.01080503734786265
-9.7875,0.006700271910435703
-9.785,0.007792322030847669
-9.782500000000001,-0.007645356444492959
-9.779999999999999,0.005079486304342773
-9.7775,0.007337437762492346
-9.775,-0.001154661506902382
-9.772500000000001,-0.01416660801279671
-9.77,-0.01297151895405174
-9.7675,0.005251141457958063
-9.765000000000001,0.01140109731986613
-9.762499999999999,0.006872243127814692
-9.76,0.006931715230217452
-9.7575,-8.331963202740742e-06
-9.755000000000001,-0.006571295240296923
-9.7525,-0.006192699246392417
-9.75,-0.01640670523448763
-9.7475,0.003607315231093644
-9.744999999999999,0.008869911160539212
-9.7425,0.005033760006496913
-9.74,0.008168539463744313
-9.737500000000001,-0.004608717255852596
-9.734999999999999,0.007817051376449821
-9.7325,-0.01661098247839959
-9.73,-0.01401380021569387
-9.727499999999999,0.009336128795795958
-9.725,0.01134701935728864
-9.7225,0.007586029513126857
-9.720000000000001,0.005496271452248503
-9.717499999999999,-0.007978912200842542
-9.715,-0.01786041714232688
-9.7125,0.002832146818675798
-9.710000000000001,0.0107500800318336
-9.7075,-0.005693814451094993
-9.705,0.01018636645374032
-9.702500000000001,0.01788103861379806
-9.699999999999999,-0.005674956816551365
-9.6975,-0.01131074680182943
-9.695,-0.01515152414960578
-9.692500000000001,-0.008388311004731079
-9.69,-0.002858067408991231
-9.6875,0.01286009601355176
-9.685,0.01520373795684668
-9.682499999999999,0.003668220870392569
-9.68,-0.005862348895804296
-9.6775,-0.008876249857331328
-9.675000000000001,-0.008540926345558491
-9.672499999999999,0.003412023463669643
-9.67,0.008190296043483642
-9.6675,0.01721671412510442
-9.664999999999999,-0.001383063100979464
-9.6625,-0.03893937945492669
-9.66,0.01265660454645655
-9.657500000000001,0.01002751619048804
-9.654999999999999,0.00948803279348444
-9.6525,-0.02842004666550725
-9.65,-0.002313712253018064
-9.647500000000001,0.01154482810338393
-9.645,0.009529371713733416
-9.6425,0.01151540384781946
-9.640000000000001,0.005553935603955666
-9.637499999999999,0.001397832754491304
-9.635,-0.01967132871835795
-9.6325,-0.01475938278044869
-9.630000000000001,-0.0009788678908193571
-9.6275,0.008249776808828969
-9.625,0.01873642357996656
-9.6225,0.006409207861856183
-9.619999999999999,-0.004455683451772939
-9.6175,-0.00846369528870218
-9.615,-0.008620854649453152
-9.612500000000001,-0.009559455993420422
-9.609999999999999,0.002366612766586116
-9.6075,0.007544183268727418
-9.605,0.01270315534489149
-9.602499999999999,0.007335487936210559
-9.6,-0.005824156857587378
-9.5975,-0.005809796367004997
-9.595000000000001,-0.003536142925368133
-9.592499999999999,-0.01202947884998993
-9.59,-0.008036353093510617
-9.5875,0.009191684065379941
-9.585000000000001,0.01772408927868411
-9.5825,0.01152010291396866
-9.58,-0.007805376712274266
-9.577500000000001,-0.00907258001861635
-9.574999999999999,-0.01020478628125408
-9.5725,-0.006596971433841819
-9.57,0.005687647205505411
-9.567500000000001,0.01181422373527626
-9.565,0.01136910857838549
-9.5625,-0.005977780355953332
-9.56,-0.007299174204320124
-9.557499999999999,-0.004889133983928927
-9.555,-5.002763412355339e-05
